runs,cost
556,1.4142063
557,1.4050182
558,1.8998796e-9
559,1.4126867
560,1.4123832
561,1.4141525
562,1.4124476
563,1.4131867
564,1.413521
565,1.4138631
566,3.007103e-15
567,1.4001706
568,1.4142063
569,1.4219222e-12
570,1.4141923
571,1.4113315
572,1.413536
573,5.1345378e-12
574,1.4142089
575,1.4142005
576,1.4139167
577,3.9948957e-11
578,1.4109677
579,1.4141248
580,1.4142097
581,1.4142118
582,1.4141903
583,1.413484
584,1.4058118
585,1.4141536
586,1.4110615
587,1.4141395
588,1.4142123
589,1.4142135
590,1.4126661
591,1.4105221
592,1.4140949
593,1.3952634
594,1.4136521
595,1.4142131
596,1.4142051
597,1.4139043
598,1.4140146
599,1.4141415
600,1.4142135
601,1.41414
602,1.4141966
603,1.414212
604,1.4142135
605,1.4140365
606,1.4113972
607,1.4141804
608,1.4142126
609,1.4141951
610,1.387104
611,1.4139706
612,1.3592395
613,1.4136088
614,1.4138671
615,1.4142135
616,1.413979
617,1.4141004
618,7.9209016e-8
619,1.4142135
620,1.4141475
621,1.4136857
622,1.4141849
623,1.4142107
624,1.4142108
625,1.4140964
626,3.2922632e-14
627,1.3732376
628,1.4138337
629,1.2090096e-8
630,1.692782e-9
631,1.10005205e-8
632,1.4123967
633,1.4124576
634,1.4142135
635,1.4139025
636,1.4141166
637,1.4134467
638,1.4142134
639,1.4130936
640,1.4142135
641,1.4139874
642,1.4140514
643,1.4142135
644,1.4139363
645,1.413958
646,1.4141334
647,1.413972
648,1.4142135
649,1.4141538
650,1.4142122
651,1.4142134
652,1.3854383
653,1.4142135
654,1.414136
655,1.4142135
656,1.4142011
657,1.4140844
658,1.4141657
659,2.9243383e-8
660,1.412826
661,6.696844e-10
662,1.3961772
663,5.068779e-9
664,1.4142135
665,1.4142123
666,1.4141407
667,1.4141368
668,1.4134731
669,1.4141881
670,1.4141383
671,1.4141996
672,1.7210491e-12
673,4.044272e-15
674,1.4111362
675,1.4119658
676,3.2643147e-10
677,1.4142094
678,1.4140718
679,1.412007
680,1.4142133
681,1.4141687
682,1.4141634
683,1.4138092
684,1.4140142
685,1.4126806
686,1.4130834
687,1.787138e-8
688,1.4139754
689,1.2545054e-9
690,1.4782016e-7
691,1.4138227
692,1.4139606
693,1.4141903
694,1.4136564
695,1.4110659
696,1.4140207
697,1.4130336
698,1.4139276
699,1.4141896
700,1.413889
701,1.4138237
702,1.4141672
703,1.4133557
704,1.4141678
705,1.4097311
706,1.4141086
707,1.4125991
708,1.41418
709,1.4142134
710,1.4142083
711,1.4141672
712,1.4142098
713,1.414197
714,1.4142109
715,1.4095126
716,1.4142135
717,1.4142113
718,1.4140537
719,1.4142127
720,8.719283e-20
721,9.308851e-17
722,1.4141058
723,1.2839431e-12
724,1.4138296
725,1.4140009
726,1.4142057
727,1.4142135
728,1.4142122
729,1.4142135
730,1.4141185
731,2.449368e-11
732,1.4139026
733,1.4141698
734,1.4142083
735,1.412196
736,1.4131763
737,1.027727e-12
738,1.4135947
739,1.4129012
740,2.6420257e-9
741,1.4139569
742,1.4136175
743,1.4117705
744,1.4141991
745,1.4128913
746,1.41371
747,1.4141896
748,1.414166
749,1.4109666
750,1.4121709
751,1.4141953
752,1.4126456
753,1.4141042
754,1.4140127
755,1.4110388
756,1.4069546
757,1.4142135
758,1.4142135
759,1.4129783
760,1.4140975
761,9.915219e-11
762,2.2940151e-10
763,1.4104322
764,1.4142131
765,1.4142126
766,1.4142135
767,1.4142048
768,1.4141887
769,1.411998
770,1.4140581
771,1.4141991
772,0.0000012999285
773,1.4142112
774,1.4142095
775,5.133912e-12
776,1.4122368
777,1.4142132
778,1.4142134
779,3.4846424e-11
780,1.4139916
781,1.4142134
782,1.4140139
783,1.4141066
784,1.3771712
785,1.4140716
786,1.4141573
787,1.2700759e-10
788,1.4139543
789,1.4142079
